name,address,cuisine,average_price,rating,reviews,offer,url,is_excluded
Archy’s Bar & Lounge at The Marble Arch Hotel,"4 Bryanston Street, W1H 7EF, London",American,25,8.5,90,50,https://www.thefork.co.uk/restaurant/archy-s-bar-lounge-at-the-marble-arch-hotel-r734366#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Sagar Vegan & Vegetarian Restaurant - Leicester Square,"37 Panton Street, Haymarket, SW1Y 4EA, London",Indian,25,8.5,601,50,https://www.thefork.co.uk/restaurant/sagar-vegan-vegetarian-restaurant-leicester-square-r723546#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Mumbai Maska,"42 Old Church Road, E4 8DB, London",Indian,25,,,50,https://www.thefork.co.uk/restaurant/mumbai-maska-r707615#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Beza Ethiopian Food,"8A Sayer Street, SE17 1FH, London",Ethiopian,25,9.3,108,30,https://www.thefork.co.uk/restaurant/beza-ethiopian-food-r742009#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Mildreds - Canary Wharf,"12 Park Drive, Canary Wharf Estate,  E14 9ZW, London",Vegan,38,9.5,14,30,https://www.thefork.co.uk/restaurant/mildreds-canary-wharf-r855458#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Three Compadres,"29 Tooting High Street, SW17 0SN, London",Mexican,36,9.5,17,30,https://www.thefork.co.uk/restaurant/three-compadres-r845220#date=2026-02-28&rankedBy=SEARCH_ENGINE,0
Chez Rapha,"48 Ropewalk, SE1 3NY, London",French,20,9.3,22,30,https://www.thefork.co.uk/restaurant/chez-rapha-r835975#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
The Sushi Co - Ealing Broadway,"23 New Broadway, W5 5AW, London",Asian,17,8.9,734,40,https://www.thefork.co.uk/restaurant/the-sushi-co-ealing-broadway-r754337#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Flavors of India,"46 Gloucester Terrace, W2 3HH, London",Indian,20,9.0,235,30,https://www.thefork.co.uk/restaurant/flavors-of-india-r748615#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Pippin's Restaurant,"1-15 Templeton Place, SW5 9NB, London",British,45,9.2,61,30,https://www.thefork.co.uk/restaurant/pippin-s-restaurant-r846199#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Bistro 1,"27 Frith Street, W1D 5LE, London",Mediterranean,25,9.0,399,40,https://www.thefork.co.uk/restaurant/bistro-1-r749281#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Diwan Restaurant,"31 Thayer Street, W1U 2QR, London",Lebanese,20,9.5,120,20,https://www.thefork.co.uk/restaurant/diwan-restaurant-r695843#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Gourmet Sushi Notting Hill Gate,"24 Notting Hill Gate, W11 3LB, London",Asian,18,8.1,15,50,https://www.thefork.co.uk/restaurant/gourmet-sushi-notting-hill-gate-r856162#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Cheeky Chicos Clapham,"126 Saint John's Hill, SW11 1SL, London",Mexican,22,9.1,450,30,https://www.thefork.co.uk/restaurant/cheeky-chicos-clapham-r833911#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
